CIK,Name,Ex
1087243,Accrue Software Inc,No 10-k
1427925,Acelrx Pharmaceuticals Inc,dosenot
2135,Affiliated Computer Services Inc,No 10-k
1581934,American Capital Senior Floating LTD,dosenot
1137587,Renew Energy Resources Inc,No 10-k
884629,Actavis Inc,dosenot
1578845,Actavis PLC,dosenot
1140098,Advanced Cell Technology Inc,dosenot
1437517,Advanced Credit Technologies Inc,exists
934549,Acacia Research Corp,dosenot
1183941,Actividentity Corp,No 10-k
907687,Actel Corp,No 10-k
1296286,Longhai Steel Inc,dosenot
1342068,Actions Semiconductor Co LTD,No 10-k
918709,Act Teleconferencing Inc,No 10-k
1062478,Actuate Corp,dosenot
1163932,Active Network Inc,dosenot
2098,Acme United Corp,dosenot
764794,Rudy Nutrition,No 10-k
786947,Acura Pharmaceuticals Inc,dosenot
1115143,Acusphere Inc,No 10-k
3327,Alberto Culver Co,No 10-k
1368457,Alberto-culver Co,No 10-k
727347,Active Link Communications Inc,No 10-k
817979,Accuride Corp,dosenot
733269,Acxiom Corp,dosenot
1036848,Aerocentury Corp,dosenot
801622,Valassis Direct Mail Inc,No 10-k
1422222,Adama Technologies Corp,dosenot
863650,Adam Inc,No 10-k
16357,Ab Liquidating Corp,No 10-k
885074,Authentidate Holding Corp,dosenot
712034,Acco Brands Corp,dosenot
796343,Adobe Systems Inc,dosenot
1077926,Audible Inc,No 10-k
1081751,Americana Publishing Inc,No 10-k
917251,Agree Realty Corp,dosenot
943184,Ever-glory International Group Inc,dosenot
61478,Adc Telecommunications Inc,No 10-k
932127,Addison Davis Diagnostics,No 10-k
1446885,Terrasol Holdings LTD,No 10-k
865415,Adept Technology Inc,dosenot
1223112,Ada-es Inc,dosenot
1515156,Advanced Emissions Solutions Inc,dosenot
884498,Ade Corp,No 10-k
910524,Acm Managed Dollar Income Fund Inc,No 10-k
3952,Allied Defense Group Inc,dosenot
1471278,Aberdeen Global Diversified Fixed Income Fund Inc,No 10-k
1109744,Andresmin Gold Corp,No 10-k
1378706,American DG Energy Inc,dosenot
1059763,Adams Golf Inc,dosenot
1389217,Alldigital Holdings Inc,dosenot
1211583,Adherex Technologies Inc,dosenot
6281,Analog Devices Inc,dosenot
891554,Document Technologies Inc,No 10-k
770403,Advanced Digital Information Corp,No 10-k
1096935,American Development & Investment Fund Inc,dosenot
1004724,Adcare Health Systems Inc,dosenot
796486,Adelphia Communications Corp,No 10-k
1085129,Zealous Inc,No 10-k
874388,American Medical Technologies Inc,No 10-k
1076167,Adolor Corp,No 10-k
1322734,Advanced Life Sciences Holdings Inc,dosenot
1002125,Advanced Lighting Technologies Inc,No 10-k
894537,Brightec Inc,No 10-k
7084,Archer Daniels Midland Co,dosenot
1486315,Americas Diamond Corp,dosenot
1449349,Advanced Medical Isotope Corp,dosenot
806514,Advanced Materials Group Inc,No 10-k
1201663,Audience Inc,dosenot
1129018,Gold Hills Mining LTD,dosenot
1029762,Auto Data Network,No 10-k
700815,Adino Energy Corp,dosenot
8670,Automatic Data Processing Inc,dosenot
1028087,American Dental Partners Inc,dosenot
709804,Steel Excel Inc,dosenot
1445815,US Rare Earth Minerals Inc,dosenot
1123337,Andrx Corp,No 10-k
1101215,Alliance Data Systems Corp,dosenot
1052773,Atlantic Data Services Inc,No 10-k
769397,Autodesk Inc,dosenot
901899,Ads Media Group Inc,No 10-k
1103544,Adsero Corp,dosenot
1403243,Ads In Motion Inc,No 10-k
1091599,Adstar Inc,No 10-k
1452206,Nanoasia LTD,No 10-k
1546640,Adt Corp,dosenot
770034,Advance Display Technologies Inc,No 10-k
1428397,Adaptive Medias Inc,dosenot
926282,Adtran Inc,dosenot
1115463,Alliance Distributors Holding Inc,No 10-k
1468328,Addus Homecare Corp,dosenot
791833,Advanced Biotherapy Inc,No 10-k
1100820,Advanced Communications Technologies Inc,dosenot
96638,Advanta Corp,No 10-k
1012956,Advancepcs,No 10-k
786623,Advanced Viral Research Corp,No 10-k
1002225,Advent Software Inc,dosenot
2230,Adams Express Co,No 10-k
1402531,Support Span Inc,No 10-k
1100397,Advaxis Inc,dosenot
789868,Feihe International Inc,dosenot
1123580,Aradyme Corp,No 10-k
1346848,Eagle Ridge Ventures Inc,No 10-k
902482,Adeza Biomedical Corp,No 10-k
1102013,Adzone Research Inc,No 10-k
2178,Adams Resources & Energy Inc,dosenot
1299704,Advance America Cash Advance Centers Inc,dosenot
738214,Aemetis Inc,dosenot
911635,Associated Estates Realty Corp,dosenot
705003,American Education Corp,No 10-k
1002910,Ameren Corp,dosenot
854608,American Environmental Energy Inc,No 10-k
1424549,Aegea Inc,dosenot
843212,American Energy Group LTD,dosenot
1039160,Aerogen Inc,No 10-k
1338042,Aegerion Pharmaceuticals Inc,dosenot
1446896,Alternative Energy Partners Inc,dosenot
1421874,Alternate Energy Holdings Inc,dosenot
1040470,Aehr Test Systems,dosenot
1041651,Asia Electronics Holding Co Inc,No 10-k
927003,Advanced Energy Industries Inc,dosenot
1039828,American Equity Investment Life Holding Co,dosenot
882291,Aethlon Medical Inc,dosenot
722077,Amc Entertainment Inc,dosenot
1041829,Austral Pacific Energy LTD,No 10-k
1398235,Id Perfumes Inc,dosenot
1136725,American Enterprise Development Corp,No 10-k
1043225,Advanced Engine Technologies Inc,No 10-k
1111391,American Energy Production Inc,No 10-k
1175867,Alternative Energy Sources Inc,No 10-k
1137239,Americas Energy Co - Aeco,dosenot
919012,American Eagle Outfitters Inc,dosenot
1343257,Novori Inc,dosenot
4904,American Electric Power Co Inc,dosenot
785787,Aep Industries Inc,dosenot
1378789,Aercap Holdings NV,No 10-k
879911,Applied Energetics Inc,exists
1337553,Aerie Pharmaceuticals Inc,dosenot
1316644,Aerogrow International Inc,dosenot
1277270,Telanetixinc,dosenot
849706,Advanced Environmental Recycling Technologies Inc,dosenot
874761,Aes Corp,dosenot
1043432,American Skiing Co,No 10-k
1026744,Aesp Inc,No 10-k
1122304,Aetna Inc,dosenot
874389,Applied Extrusion Technologies Inc,No 10-k
1043186,American Electric Technologies Inc,dosenot
351129,Amerex Group Inc,No 10-k
1388486,Spotlight Innovation Inc,dosenot
874292,Addvantage Technologies Group Inc,dosenot
910322,Astoria Financial Corp,dosenot
799231,Almost Family Inc,dosenot
1501489,Af Ocean Investment Management Co,dosenot
1162027,Alliancebernstein National Municipal Income Fund,No 10-k
1158865,Allied First Bancorp Inc,No 10-k
1023398,Advance Financial Bancorp,No 10-k
1472093,Athens Bancshares Corp,dosenot
898805,Advanced Fibre Communications Inc,No 10-k
1040660,Applied Films Corp,No 10-k
1296595,Cross Canyon Energy Corp,No 10-k
820608,Quantrx Biomedical Corp,dosenot
1007508,Affinity Technology Group Inc,No 10-k
1282453,Friendco Restaurants Inc,No 10-k
1282543,Affirmative Insurance Holdings Inc,dosenot
1143997,American Fiedlity Financial Services Inc,No 10-k
1433821,Affinity Mediaworks Corp,dosenot
913077,Affymetrix Inc,dosenot
1158223,Affymax Inc,dosenot
1042046,American Financial Group Inc,dosenot
1012316,Firepond Inc,No 10-k
1539894,Atlas Financial Holdings Inc,dosenot
4977,Aflac Inc,dosenot
1336654,Affinity Media International Corp,No 10-k
1122342,Alliance Fiber Optic Products Inc,dosenot
65358,United Capital Corp,dosenot
319126,Afp Imaging Corp,No 10-k
1193558,American Financial Realty Trust,No 10-k
1365555,Amtrust Financial Services Inc,dosenot
1355677,Mexus Gold US,dosenot
1502573,Apollo Senior Floating Rate Fund Inc,No 10-k
1167868,Afv Solutions Inc,No 10-k
1421419,Aga Medical Holdings Inc,No 10-k
1016900,Applied Natural Gas Fuels Inc,dosenot
842289,Ab Holding Group Inc,No 10-k
1391461,Advent Claymore Convertible Securities & Income Fund II,No 10-k
1052163,Anchor Glass Container Corp,No 10-k
880266,Agco Corp,dosenot
1006030,Applied Graphics Technologies Inc,No 10-k
1362481,Alpine Global Dynamic Dividend Fund,No 10-k
1330323,Shamika 2 Gold Inc,dosenot
718482,Edwards A G Inc,No 10-k
1084122,Angelciti Entertainment Inc,No 10-k
1098972,Agenus Inc,dosenot
1085596,Angiogenex Inc,dosenot
811828,Atlantis Plastics Inc,No 10-k
800082,Argonaut Group Inc,No 10-k
1091748,Argo Group International Holdings LTD,dosenot
1088653,Agile Software Corp,No 10-k
1497316,American Graphite Technologies Inc,dosenot
1439222,Agios Pharmaceuticals Inc,dosenot
778426,Aegis Communications Group Inc,No 10-k
1107601,Atherogenics Inc,No 10-k
6571,Angelica Corp,No 10-k
845877,Federal Agricultural Mortgage Corp,dosenot
725752,Along Mobile Technologies Inc,No 10-k
1030699,Mediaworx Inc,No 10-k
1072816,Prolink Holdings Corp,No 10-k
820757,Am-ch Inc,No 10-k
850693,Allergan Inc,dosenot
1423689,American Capital Agency Corp,dosenot
1104502,Acrongenomics Inc,dosenot
1112880,Argonaut Technologies Inc,No 10-k
1273813,Assured Guaranty LTD,dosenot
1064863,Amerigroup Corp,dosenot
1129446,Agere Systems Inc,No 10-k
726293,Agricon Global Corp,dosenot
1101752,Augrid Corp,No 10-k
1352858,Laburnum Ventures Inc,dosenot
1139029,Algorx Pharmaceuticals Inc,No 10-k
1183075,Aegis Assessments Inc,No 10-k
1310497,Silver Stream Mining Corp,dosenot
1321366,Greater China Media & Entertainment Corp Formerly Aga Resources Inc,No 10-k
1091294,Shiming US Inc,No 10-k
1369608,Advanced Growing Systems Inc,No 10-k
1020676,Atmospheric Glow Technologies Inc,No 10-k
100591,Argan Inc,dosenot
1167887,Argentex Mining Corp,dosenot
895385,Argosy Gaming Co,No 10-k
78749,Agilysys Inc,dosenot
845752,Armor Holdings Inc,No 10-k
1472595,Accretive Health Inc,dosenot
1413898,A H Belo Corp,dosenot
890634,Allied Healthcare International Inc,No 10-k
945634,Artisanal Brands Inc,dosenot
882289,Apria Healthcare Group Inc,dosenot
1344980,Alliance Holdings GP LP,dosenot
1256536,American Home Mortgage Investment Corp,No 10-k
1297178,Accredited Mortgage Loan REIT Trust,No 10-k
1569187,Armada Hoffler Properties Inc,dosenot
909950,Allied Systems Holdings Inc,No 10-k
1372813,Animal Health International Inc,No 10-k
1267395,Aspen Insurance Holdings LTD,dosenot
1089504,American Home Mortgage Holdings Inc,No 10-k
1158702,Apache Motor Corp,No 10-k
720480,Atc Healthcare Inc,No 10-k
911115,Atchison Casting Corp,No 10-k
1304409,Athena Silver Corp,dosenot
879181,American Homepatient Inc,No 10-k
1574085,Ashford Hospitality Prime Inc,dosenot
874710,Allied Healthcare Products Inc,dosenot
1050112,Anthracite Capital Inc,No 10-k
1175596,Amarc Resources LTD,No 10-k
1377053,Atheronova Inc,dosenot
1142750,Amn Healthcare Services Inc,dosenot
1232582,Ashford Hospitality Trust Inc,dosenot
724533,American Insured Mortgage Investors,No 10-k
1282552,Aames Investment Corp,No 10-k
74783,Acceptance Insurance Companies Inc,No 10-k
27425,Amcast Industrial Corp,No 10-k
816066,Applied Imaging Corp,No 10-k
1220286,Aida Pharmaceuticals Inc,No 10-k
1005356,Advanced Id Corp,No 10-k
1089799,Accuimage Diagnostics Corp,No 10-k
1526697,Apollo Tactical Income Fund Inc,No 10-k
5272,American International Group Inc,dosenot
46653,Ablest Inc,No 10-k
753281,American Insured Mortgage Investors Series 85 LP,No 10-k
784014,American Insured Mortgage Investors LP Series 86,No 10-k
811437,American Insured Mortgage Investors LP Series 88,No 10-k
109471,Aerosonic Corp,dosenot
1374535,Altra Industrial Motion Corp,dosenot
879106,Autoimmune Inc,No 10-k
819793,Albany International Corp,dosenot
798399,Applied Innovation Inc,No 10-k
1278752,Apollo Investment Corp,dosenot
817135,Alliance Healthcare Services Inc,dosenot
1750,Aar Corp,dosenot
1135185,Atlas Air Worldwide Holdings Inc,dosenot
816159,Air Methods Corp,dosenot
1105542,Airspan Networks Inc,No 10-k
353184,Air T Inc,dosenot
1116435,Airvana Inc,No 10-k
1500123,Airware Labs Corp,dosenot
109563,Applied Industrial Technologies Inc,dosenot
1081372,Airtrax Inc,No 10-k
922864,Apartment Investment & Management Co,dosenot
1471302,Ecochild Inc,dosenot
5656,American International Ventures Inc,dosenot
1267238,Assurant Inc,dosenot
854858,Ajay Sports Inc,No 10-k
354190,Gallagher Arthur J & Co,exists
1394108,American Jianye Greentech Holdings LTD,exists
1144515,Ajs Bancorp Inc,No 10-k
1576336,Ajs Bancorp Inc,dosenot
1086222,Akamai Technologies Inc,exists
1321834,Akers Biosciences Inc,dosenot
1042420,Akesis Pharmaceuticals Inc,No 10-k
804888,Acclaim Entertainment Inc,No 10-k
1162028,Alliance California Municipal Income Fund,No 10-k
1081860,Alaska Pacific Bancshares Inc,dosenot
899629,Acadia Realty Trust,dosenot
1104040,Asia Cork Inc,dosenot
3116,Akorn Inc,dosenot
918160,Ak Steel Holding Corp,dosenot
902600,Aksys LTD,No 10-k
1191359,Arkanova Energy Corp,dosenot
1460685,Accesskey Ip Inc,No 10-k
1487712,Air Lease Corp,dosenot
926966,Alabama National Bancorporation,No 10-k
98618,Alanco Technologies Inc,dosenot
915913,Albemarle Corp,dosenot
1310817,Aldabra Acquisition Corp,No 10-k
1074369,Community Capital Bancshares Inc,No 10-k
929994,Assisted Living Concepts Inc,dosenot
708484,Alcide Corp,No 10-k
3642,Allcity Insurance Co,No 10-k
3545,Alico Inc,dosenot
3906,Allied Capital Corp,No 10-k
902272,Aldila Inc,No 10-k
1358652,Opes Exploration Inc,No 10-k
1556766,Alon USA Partners LP,dosenot
66756,Allete Inc,dosenot
1545654,Alexander & Baldwin Inc,dosenot
743532,Alfa Corp,No 10-k
1172095,Atlantic Liberty Financial Corp,No 10-k
1187449,CNK Global Inc,dosenot
897077,Alamo Group Inc,dosenot
8855,American Locker Group Inc,dosenot
1097149,Align Technology Inc,dosenot
1362468,Allegiant Travel Co,dosenot
1087216,Alliance Healthcard Inc,dosenot
1070361,Artificial Life Inc,dosenot
1267602,Alimera Sciences Inc,dosenot
1325955,Alon USA Energy Inc,dosenot
766421,Alaska Air Group Inc,dosenot
874663,Alkermes Inc,dosenot
1520262,Alkermes PLC,dosenot
899051,Allstate Corp,dosenot
1373079,Alliance Bancorp Inc Of Pennsylvania,No 10-k
1500711,Alliance Bancorp Inc Of Pennsylvania,dosenot
1045260,Alliance Towers Inc,No 10-k
703970,Allegiant Bancorp Inc,No 10-k
1579241,Allegion PLC,dosenot
847935,Care Group Inc,No 10-k
1020391,Allin Corp,No 10-k
736994,Alliance Pharmaceutical Corp,No 10-k
1365767,Allot Communications LTD,No 10-k
93730,Allmerica Securities Trust,No 10-k
1360334,Alamo Energy Corp,dosenot
1100542,Alamogordo Financial Corp,dosenot
1343957,Allmarine Consultants Corp,No 10-k
1140188,Alamosa Holdings LLC,No 10-k
3721,Allen Telecom Inc,No 10-k
1117057,American Lorain Corp,dosenot
796317,Alliance Financial Corp,dosenot
1178670,Alnylam Pharmaceuticals Inc,dosenot
730469,Alpharma Inc,No 10-k
1211524,Allied Resources Inc,dosenot
6284,Analogic Corp,dosenot
8146,Astro Med Inc,dosenot
1080359,Alloy Inc,No 10-k
1092807,Alpine Air Express Inc,No 10-k
1002132,Alphanet Solutions Inc,No 10-k
1128227,First Federal Of Northern Michigan Bancorp Inc,dosenot
3153,Alabama Power Co,dosenot
1054274,Alliqua Inc,dosenot
1145460,Alere Inc,dosenot
920521,Alternative Resources Corp,No 10-k
1044119,Allergy Research Group Inc,No 10-k
1087022,Alr Technologies Inc,dosenot
1114936,Umeworld LTD,dosenot
913293,Alliance Semiconductor Corp,No 10-k
1089511,Alaska Communications Systems Group Inc,dosenot
1264388,Alphasmart Inc,No 10-k
1411207,Allison Transmission Holdings Inc,dosenot
1421538,Infinity Augmented Reality Inc,dosenot
1141719,Max Re Capital LTD,dosenot
1097264,Allos Therapeutics Inc,dosenot
1016546,Altair Nanotechnologies Inc,dosenot
949244,Alternate Marketing Networks Inc,No 10-k
1430124,Alto Group Holdings Inc,dosenot
768251,Altera Corp,dosenot
1340744,Altus Pharmaceuticals Inc,No 10-k
104777,Alteva Inc,dosenot
846538,Allou Health & Beauty Care Inc,No 10-k
1034670,Autoliv Inc,dosenot
3499,Alexanders Inc,dosenot
1344413,Alexza Pharmaceuticals Inc,dosenot
899866,Alexion Pharmaceuticals Inc,dosenot
3982,Allis Chalmers Energy Inc,dosenot
1126003,Alternet Systems Inc,dosenot
5133,American Greetings Corp,dosenot
700721,American Medical Alert Corp,dosenot
792977,Amag Pharmaceuticals Inc,dosenot
1014763,Amarillo Biosciences Inc,dosenot
1023198,Stemgen Inc,dosenot
6951,Applied Materials Inc,dosenot
1045609,Prologis Inc,dosenot
1280263,Ambarella Inc,dosenot
1040491,Americasbank Corp,No 10-k
276750,Amber Resources Co Of Colorado,dosenot
1131543,Ambit Biosciences Corp,dosenot
1163747,American Bank Inc,No 10-k
1424812,Amarantus Bioscience Holdings Inc,dosenot
1047919,Ambient Corp,dosenot
878774,American Mortgage Acceptance Co,No 10-k
1411579,Amc Entertainment Holdings Inc,dosenot
711065,Applied Micro Circuits Corp,dosenot
774517,American Learning Corp,dosenot
1469606,Andatee China Marine Fuel Services Corp,dosenot
1435772,Destiny Minerals Inc,No 10-k
350193,American Millennium Corp Inc,No 10-k
1343009,American Mining Corp,exists
1009667,Amcomp Inc,No 10-k
1514991,Amc Networks Inc,dosenot
2488,Advanced Micro Devices Inc,exists
1130781,Viratech Corp,No 10-k
1037868,Ametek Inc,dosenot
1318820,4C Controls Inc,No 10-k
896262,Amedisys Inc,dosenot
1083446,Apollo Medical Holdings Inc,dosenot
1037599,Amen Properties Inc,No 10-k
1111312,Applied Molecular Evolution Inc,No 10-k
838133,Acm Managed Income Fund Inc,No 10-k
915393,Amb Financial Corp,No 10-k
788340,Amfil Technologies Inc,dosenot
714756,Amcore Financial Inc,No 10-k
894972,Amfm Inc,No 10-k
1105949,Ameri First Financial Group Inc,No 10-k
1004434,Affiliated Managers Group Inc,dosenot
1344708,American Mold Guard Inc,No 10-k
61442,Ascent Media Group Inc,No 10-k
318154,Amgen Inc,dosenot
1109504,Adira Energy LTD,No 10-k
1534155,Ameri Metro Inc Formerly Yellowwood,dosenot
1051717,Athene USA Corp,No 10-k
1562401,American Homes 4 Rent,dosenot
854862,American Healthchoice Inc,No 10-k
817161,Alaris Medical Systems Inc,No 10-k
97196,American Independence Corp,dosenot
1513965,American Midstream Partners LP,dosenot
946842,Ambassadors International Inc,dosenot
1073146,American International Industries Inc,dosenot
1161963,Amis Holdings Inc,No 10-k
766430,American Technical Ceramics Corp,No 10-k
1047127,Amkor Technology Inc,dosenot
1361566,Amkor International Holdings LLC,No 10-k
914724,Amli Residential Properties Trust,No 10-k
1124197,American Leisure Holdings Inc,No 10-k
1003640,Aml Communications Inc,No 10-k
1356371,American Lithium Minerals Inc,No 10-k
881464,Amylin Pharmaceuticals Inc,dosenot
841866,Ams Health Sciences Inc,dosenot
1114200,American Medical Systems Holdings Inc,No 10-k
826444,American Metal & Technology Inc,No 10-k
790730,Ameron International Corp,dosenot
741516,American National Bankshares Inc,dosenot
771944,American National Bancshares Inc,No 10-k
8328,Applied Minerals Inc,dosenot
1069389,Amnis Systems Inc,No 10-k
799414,China Agricorp Inc,No 10-k
1035744,Amnet Mortgage Inc,No 10-k
928609,Alliance All Market Advantage Fund Inc,No 10-k
46129,Allied Motion Technologies Inc,dosenot
820027,Ameriprise Financial Inc,dosenot
1016151,Wi-tron Inc,No 10-k
1425287,Amp Holding Inc,dosenot
1138593,American Petroleum Group Inc,No 10-k
1411906,Ampio Pharmaceuticals Inc,dosenot
724024,American Physicians Service Group Inc,No 10-k
1292521,True North Energy Corp,No 10-k
731859,Ampal-american Israel Corp,dosenot
887433,Ampex Corp,No 10-k
1103086,American Racing Capital Inc,No 10-k
1108236,American River Bankshares,dosenot
1488139,Ameresco Inc,dosenot
1065087,Albany Molecular Research Inc,dosenot
897448,Amarin Corp PLC,dosenot
1120246,Amarin Corp PLC,No 10-k
1100747,Tara Gold Resources Corp,dosenot
1365916,Amyris Inc,dosenot
1430415,Encompass Energy Services Inc,dosenot
744825,American Shared Hospital Services,dosenot
880807,American Superconductor Corp,dosenot
1052994,Amstar Financial Services Inc,No 10-k
879957,Aames Financial Corp,No 10-k
1018979,Amerisafe Inc,dosenot
895930,Amsurg Corp,dosenot
1099674,Artemis International Solutions Corp,No 10-k
1141880,American Market Support Network Inc,No 10-k
907033,American Stone Industries Inc,No 10-k
1360479,Stem Cell Therapy International Inc,No 10-k
1142801,Amanasu Environment Corp,dosenot
1307701,Cono Italiano Inc,dosenot
713425,American Software Inc,dosenot
310624,American Management Systems Inc,No 10-k
1053507,American Tower Corp,dosenot
741559,Amistar Corp,No 10-k
1064015,Ameritrans Capital Corp,dosenot
1173431,TD Ameritrade Holding Corp,dosenot
1515980,Apollo Residential Mortgage Inc,dosenot
1250485,Dematco Inc,No 10-k
1017797,Amt Group Inc,No 10-k
